#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      362.6   371.5   160.7   228.6   251.4   337.3   367.6   385.5   398.2   413.4   431.2   463.6   589.2  5688.9 13820.5   4995.2     5000  1714411890067  1714411895507
read      396.2   363.4   160.7   212.7   227.8   384.7   439.7   465.3   483.2   502.5   527.6   563.3   661.7  4478.3 13957.0   9985.8    10000  1714411897011  1714411902392
read      407.4   288.7   160.7   211.0   226.5   390.9   469.7   506.1   530.3   556.1   587.9   633.6   733.6  3654.6 12682.2  14930.6    15000  1714411903896  1714411909217
read      423.4   306.5   148.8   208.9   225.6   397.9   490.7   537.6   568.9   602.7   639.7   692.4   797.7  2007.4 13695.2  19931.2    20000  1714411910720  1714411916050
read      435.6   265.5   148.8   209.1   226.8   401.7   494.5   547.9   588.5   632.4   684.0   748.1   881.2  1936.3 10599.8  24926.2    25000  1714411917553  1714411922872
read      445.3   248.4   148.8   208.6   227.1   411.9   503.1   558.9   601.4   650.3   708.3   786.5   936.4  1802.8  9744.6  30066.6    30000  1714411924376  1714411929698
read      434.8   264.9   148.8   205.1   222.3   397.0   487.4   544.9   590.1   641.0   699.2   775.8   923.2  2033.6 10109.8  35016.6    35000  1714411931202  1714411936504
read      449.8   312.9   148.8   210.4   228.4   418.7   509.1   563.8   606.4   656.8   720.2   801.4   937.0  1350.8  9580.5  39937.8    40000  1714411938009  1714411943303
read      431.8   227.5   148.8   207.1   224.7   397.0   487.6   542.8   585.3   634.7   694.8   775.6   914.2  1270.0  6343.0  44938.0    45000  1714411944807  1714411950137
read      440.4   277.8   148.8   208.4   226.4   404.1   497.2   549.1   592.0   641.0   704.3   789.6   932.8  1357.0 10654.0  50132.9    50000  1714411951641  1714411956956
read      456.9   244.7   148.8   213.5   233.8   421.8   518.4   574.1   615.1   664.7   729.0   819.2   976.5  1281.7  8471.9  54933.8    55000  1714411958459  1714411963758
read      433.7   240.2   148.8   208.5   226.8   393.5   485.0   541.6   583.9   633.8   697.4   785.5   936.5  1253.1  8465.4  59991.6    60000  1714411965261  1714411970554
read      447.8   258.9   148.8   213.0   233.8   410.3   502.1   556.4   597.2   646.0   710.2   801.6   975.3  1302.8  9993.0  64901.2    65000  1714411972057  1714411977361
read      452.5   263.7   148.8   218.3   240.4   414.8   506.8   561.7   602.7   650.2   710.8   796.2   952.8  1255.5  9922.2  69937.8    70000  1714411978864  1714411984165
read      581.1   361.4   148.8   256.3   296.3   535.3   636.9   693.7   739.3   803.2   919.1  1109.8  1360.0  1701.0 14460.5  75001.0    75000  1714411985668  1714411990970
read      711.3   395.9   148.8   338.4   405.9   631.3   733.0   843.3   962.6  1064.3  1156.1  1271.7  1456.9  2426.8 15120.5  79262.9    80000  1714411992474  1714411997768
read      634.1   368.4   148.8   295.4   346.2   573.2   681.3   759.5   830.9   914.9  1012.5  1151.9  1366.9  1791.2 13791.7  83827.8    85000  1714411999271  1714412004563
read      765.8   448.5   148.8   458.1   495.6   636.9   820.1  1013.8  1071.4  1125.2  1176.7  1253.9  1386.7  3176.8 19780.6  84016.6    90000  1714412006067  1714412011359
read      785.0   438.2   160.7   476.8   513.0   655.7   800.5  1025.2  1095.5  1156.6  1222.7  1304.0  1451.4  3984.1 16610.9  83288.4    95000  1714412012862  1714412018178
read      859.7   478.3   160.7   553.5   584.1   714.8   800.2  1133.6  1221.2  1286.5  1350.5  1433.8  1578.3  4106.5 17703.8  76685.4   100000  1714412019681  1714412024981
read      795.2   395.2   160.7   510.2   534.9   655.2   753.0  1072.7  1134.6  1184.8  1240.8  1311.1  1444.0  3460.7 15302.6  82479.2   105000  1714412026484  1714412031779
read      838.3   448.9   160.7   534.3   566.5   693.0   789.4  1115.1  1194.3  1250.9  1312.2  1380.0  1512.9  4060.1 16714.3  78588.1   110000  1714412033282  1714412038582
read      808.6   445.4   160.7   516.6   545.8   668.4   761.1  1074.3  1145.4  1205.2  1264.7  1347.6  1483.5  4128.1 16860.3  81466.6   115000  1714412040085  1714412045386
read      851.4   459.8   160.7   547.1   578.2   709.0   796.7  1118.7  1208.2  1270.6  1334.7  1411.7  1558.1  4802.0 16887.3  77466.0   120000  1714412046890  1714412052189
read      846.5   421.6   148.8   552.7   580.6   698.4   787.9  1132.2  1213.9  1269.6  1329.1  1394.7  1536.6  3835.6 15620.5  77718.3   125000  1714412053692  1714412058988
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.43%,59.30%,100.00%
