#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      360.7   466.4   160.7   222.9   243.6   326.2   356.3   373.8   388.6   403.7   424.9   458.2   719.6  8535.7 17938.6   4956.4     5000  1714413158109  1714413163543
read      383.7   358.4   160.7   211.1   226.8   365.9   426.5   453.8   470.7   491.7   514.8   548.0   635.6  4390.8 12915.0  10020.2    10000  1714413165047  1714413170416
read      400.8   311.0   148.8   207.3   222.9   377.8   457.9   498.9   526.1   554.4   587.0   631.3   721.1  3237.0 12800.7  14963.0    15000  1714413171919  1714413177248
read      415.6   259.7   148.8   205.3   221.0   380.4   470.6   525.3   563.0   603.6   645.8   703.8   821.2  2601.3 10143.9  20011.2    20000  1714413178751  1714413184091
read      423.5   231.7   148.8   203.8   219.2   382.2   479.0   539.1   585.7   635.1   689.2   763.2   919.1  1515.3  8554.6  24896.0    25000  1714413185595  1714413190914
read      429.9   269.4   148.8   200.0   215.4   377.9   483.0   549.7   604.8   661.7   721.8   798.0   964.8  2011.3  9770.2  29984.4    30000  1714413192418  1714413197737
read      453.1   282.5   148.8   203.4   219.3   378.0   506.9   587.6   655.0   723.7   796.8   903.9  1151.2  1603.6  9921.8  34976.6    35000  1714413199240  1714413204542
read      446.3   305.6   148.8   202.4   217.0   354.6   488.3   574.9   648.1   724.0   803.7   924.8  1201.0  1648.5 12941.2  39852.5    40000  1714413206045  1714413211343
read      450.5   287.3   148.8   203.2   218.7   349.4   479.8   568.9   643.2   732.1   830.7   987.7  1305.8  1667.0  6362.9  44874.0    45000  1714413212846  1714413218160
read      461.7   363.6   148.8   204.8   220.8   341.2   455.4   546.4   627.2   742.3   882.5  1126.7  1522.1  2110.8 10990.2  49823.0    50000  1714413219663  1714413224967
read      434.2   317.8   148.8   201.0   214.7   319.7   416.1   497.2   575.0   691.7   832.3  1083.7  1484.5  1977.7  7926.7  55047.4    55000  1714413226471  1714413231777
read      448.5   337.2   148.8   202.9   218.6   333.9   433.7   512.2   586.1   701.5   861.0  1104.2  1549.2  2032.0  9510.7  59819.4    60000  1714413233280  1714413238574
read      458.4   350.1   148.8   203.7   220.6   335.2   430.3   508.6   587.8   715.2   899.1  1186.6  1665.8  2177.0  8263.4  64945.8    65000  1714413240078  1714413245370
read      439.0   357.4   137.8   200.4   216.1   318.5   401.4   475.9   546.9   674.1   870.8  1153.4  1602.9  2100.5  8789.8  70017.2    70000  1714413246875  1714413252182
read      498.2   454.6   148.8   213.6   231.9   347.6   443.8   531.6   630.3   795.6  1029.8  1331.4  1963.9  2829.8 13150.5  75091.4    75000  1714413253685  1714413258987
read      612.8   580.8   148.8   223.4   246.4   388.1   496.0   665.8   885.0  1209.4  1504.5  1724.7  2282.9  3001.7 17206.6  79683.4    80000  1714413260491  1714413265793
read      659.7   616.7   148.8   235.5   262.5   383.1   504.6   797.1  1129.6  1422.5  1587.3  1773.4  2566.0  3208.0 12720.2  84453.3    85000  1714413267297  1714413272602
read      767.2  1185.2   148.8   281.5   306.3   388.9   467.5  1203.8  1433.8  1543.4  1653.1  1797.8  2740.3 14845.5 35024.5  86468.8    90000  1714413274106  1714413279406
read      856.7  1287.7   148.8   269.1   317.4   450.0   616.2  1384.9  1527.1  1630.0  1733.3  1899.5  2903.5 15788.3 38448.9  77919.0    95000  1714413280909  1714413286209
read      852.3  1123.3   160.7   278.5   323.3   450.0   658.2  1441.6  1551.2  1641.2  1738.0  1881.5  2779.3 16414.5 35757.3  77871.0   100000  1714413287712  1714413293013
read      843.2  1082.7   148.8   278.7   324.7   441.5   647.0  1423.7  1541.6  1633.2  1731.7  1883.4  2798.3 12780.9 35620.8  78719.1   105000  1714413294517  1714413299814
read      812.7  1227.1   148.8   283.8   318.4   414.5   523.4  1335.6  1492.7  1594.5  1696.7  1842.6  2769.3 14263.3 37085.1  82172.5   110000  1714413301318  1714413306634
read      859.7  1326.2   148.8   274.7   326.3   444.7   589.8  1376.9  1527.7  1624.0  1730.8  1889.9  2893.8 17214.0 36572.2  77978.3   115000  1714413308138  1714413313431
read      849.5  1289.2   148.8   269.4   321.1   439.6   577.9  1381.2  1522.1  1619.1  1726.8  1884.5  2843.3 16616.3 32460.1  78760.8   120000  1714413314935  1714413320238
read      835.7  1280.9   148.8   275.6   318.7   428.9   552.4  1367.0  1513.4  1611.2  1717.0  1868.6  2837.5 16321.9 36525.2  80196.2   125000  1714413321741  1714413327050
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.50%,60.00%,100.00%
