2024-05-13T22:22:53.754081 custom scheduler unstable+%28CURR+39763+-+60750+QPS%29
2024-05-13T22:22:53.942428 custom scheduler stable+%2854382+QPS%29
2024-05-13T22:22:54.191996 custom scheduler stable+%2846650+QPS%29
2024-05-13T22:22:54.886596 custom scheduler stable+%2831820+QPS%29
2024-05-13T22:22:55.330209 custom scheduler unstable+%28CURR+1580+-+29503+QPS%29
2024-05-13T22:22:55.392978 custom scheduler stable+%2829093+QPS%29
2024-05-13T22:22:55.455043 custom scheduler unstable+%28CURR+18236+-+28011+QPS%29
2024-05-13T22:22:55.769639 custom scheduler stable+%2831905+QPS%29
2024-05-13T22:22:56.394069 custom scheduler stable+%2835074+QPS%29
2024-05-13T22:22:57.081518 custom scheduler stable+%2832244+QPS%29
2024-05-13T22:22:57.768219 custom scheduler stable+%2832353+QPS%29
2024-05-13T22:22:58.462990 custom scheduler stable+%2832144+QPS%29
2024-05-13T22:22:59.151785 custom scheduler stable+%2832129+QPS%29
2024-05-13T22:22:59.839915 custom scheduler stable+%2831699+QPS%29
2024-05-13T22:23:00.528285 custom scheduler stable+%2831653+QPS%29
2024-05-13T22:23:01.215811 custom scheduler stable+%2831747+QPS%29
2024-05-13T22:23:01.907882 custom scheduler stable+%2831935+QPS%29
2024-05-13T22:23:02.599699 custom scheduler stable+%2831945+QPS%29
2024-05-13T22:23:03.291336 custom scheduler stable+%2831906+QPS%29
2024-05-13T22:23:03.670954 custom scheduler unstable+%28CURR+61151+-+33270+QPS%29
2024-05-13T22:23:04.510046 custom scheduler stable+%2880095+QPS%29
2024-05-13T22:23:05.151539 custom scheduler stable+%2888987+QPS%29
2024-05-13T22:23:05.867863 custom scheduler stable+%2888898+QPS%29
2024-05-13T22:23:06.572438 custom scheduler stable+%2889227+QPS%29
2024-05-13T22:23:07.282244 custom scheduler stable+%2888356+QPS%29
2024-05-13T22:23:07.988094 custom scheduler stable+%2889015+QPS%29
2024-05-13T22:23:08.704400 custom scheduler stable+%2888607+QPS%29
2024-05-13T22:23:09.407850 custom scheduler stable+%2888796+QPS%29
2024-05-13T22:23:10.112136 custom scheduler stable+%2888657+QPS%29
2024-05-13T22:23:10.819215 custom scheduler stable+%2888855+QPS%29
2024-05-13T22:23:11.534071 custom scheduler stable+%2888627+QPS%29
2024-05-13T22:23:12.238950 custom scheduler stable+%2888907+QPS%29
2024-05-13T22:23:12.947402 custom scheduler stable+%2888967+QPS%29
2024-05-13T22:23:13.657152 custom scheduler stable+%2887153+QPS%29
2024-05-13T22:23:13.718854 custom scheduler unstable+%28CURR+9688+-+82313+QPS%29
2024-05-13T22:23:14.649170 custom scheduler stable+%287413+QPS%29
2024-05-13T22:23:15.270157 custom scheduler stable+%287497+QPS%29
2024-05-13T22:23:15.953123 custom scheduler stable+%287431+QPS%29
2024-05-13T22:23:16.634970 custom scheduler stable+%287395+QPS%29
2024-05-13T22:23:17.316249 custom scheduler stable+%287485+QPS%29
2024-05-13T22:23:17.755459 custom scheduler unstable+%28CURR+11091+-+7617+QPS%29
2024-05-13T22:23:17.819415 custom scheduler stable+%287602+QPS%29
2024-05-13T22:23:18.004514 custom scheduler stable+%287596+QPS%29
2024-05-13T22:23:18.689479 custom scheduler stable+%287528+QPS%29
2024-05-13T22:23:19.373663 custom scheduler stable+%287419+QPS%29
2024-05-13T22:23:20.055310 custom scheduler stable+%287336+QPS%29
2024-05-13T22:23:20.248784 custom scheduler unstable+%28CURR+10373+-+7224+QPS%29
2024-05-13T22:23:20.310514 custom scheduler stable+%287204+QPS%29
2024-05-13T22:23:20.557954 custom scheduler unstable+%28CURR+10648+-+7370+QPS%29
2024-05-13T22:23:20.619646 custom scheduler stable+%287435+QPS%29
