#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      380.7   446.4   173.5   244.3   267.0   359.5   387.3   401.0   412.4   426.1   442.5   470.7   578.0  6980.8 15971.0   4993.0     5000  1714835856969  1714835862414
read      392.8   270.0   160.7   227.9   246.9   391.5   434.3   455.0   468.0   485.4   504.6   537.8   622.4  3435.9 12889.8  10054.4    10000  1714835863922  1714835869314
read      405.1   334.1   160.7   219.9   236.0   399.7   464.9   493.5   511.7   532.9   556.3   590.4   676.8  3859.6 14458.3  15087.4    15000  1714835870819  1714835876153
read      411.6   375.2   160.7   211.6   227.1   394.8   484.3   522.1   545.4   570.9   598.3   638.7   728.4  3832.1 12439.5  19982.6    20000  1714835877658  1714835882985
read      398.9   226.2   148.8   207.4   222.2   365.2   475.8   521.5   549.4   577.8   610.4   654.0   732.6  1288.1  9924.5  24919.4    25000  1714835884489  1714835889814
read      396.5   217.9   148.8   206.5   221.2   350.5   466.1   522.1   555.4   587.1   622.6   666.8   741.0  1183.3  8785.2  30046.6    30000  1714835891318  1714835896649
read      400.3   299.9   148.8   205.4   220.3   347.6   459.5   521.3   560.1   598.1   638.3   682.7   765.9  2347.9 15652.4  35126.0    35000  1714835898154  1714835903460
read      388.3   236.9   148.8   205.2   219.5   337.1   436.2   499.9   543.1   584.5   627.3   676.1   761.7  1467.7  7936.5  40050.4    40000  1714835904963  1714835910275
read      376.6   241.2   148.8   204.0   217.2   324.2   410.8   474.7   521.2   567.3   614.1   667.7   748.7  1479.2 10028.5  44955.6    45000  1714835911778  1714835917081
read      384.8   219.2   148.8   207.0   221.5   338.2   423.5   480.7   526.2   575.7   625.8   678.0   762.4  1097.0  8411.5  50144.0    50000  1714835918585  1714835923890
read      383.8   219.9   160.7   207.8   222.3   337.2   420.9   475.7   519.4   568.8   622.3   680.1   778.4  1182.7  7818.2  55033.2    55000  1714835925394  1714835930706
read      380.8   187.5   148.8   212.2   226.8   337.6   412.6   461.8   503.3   554.5   612.7   675.8   774.4  1188.7  7314.1  59979.4    60000  1714835932210  1714835937515
read      383.1   223.1   148.8   210.0   224.7   332.4   415.8   470.4   512.2   559.1   614.6   682.9   816.2  1330.3  8463.0  65059.8    65000  1714835939018  1714835944327
read      369.0   223.4   148.8   207.8   221.8   327.4   398.2   443.6   479.6   525.1   580.9   654.1   760.8  1246.4  8794.7  69863.1    70000  1714835945831  1714835951135
read      359.6   198.1   148.8   206.3   220.1   325.0   390.6   429.8   460.1   498.1   547.5   622.5   738.7  1281.2  8381.4  74838.7    75000  1714835952639  1714835957947
read      354.7   219.6   148.8   205.1   218.7   315.3   377.2   417.4   449.5   490.2   542.9   617.5   742.4  2019.2  8721.4  79905.0    80000  1714835959451  1714835964770
read      354.8   191.8   148.8   206.6   220.8   322.4   383.9   420.4   448.6   483.8   531.8   603.6   738.4  1279.9  7859.2  85003.8    85000  1714835966274  1714835971587
read      359.3   181.7   148.8   209.9   224.6   327.4   389.4   426.7   455.6   491.2   538.0   608.4   732.6  1013.2  7713.6  89878.4    90000  1714835973090  1714835978391
read      350.1   160.5   148.8   207.9   222.4   321.6   379.3   414.0   440.4   473.1   517.5   584.6   703.2   986.5  5100.9  95036.4    95000  1714835979895  1714835985203
read      351.5   182.2   148.8   208.4   223.0   320.9   378.0   413.2   440.2   474.2   520.6   588.8   727.8  1023.8  7387.9  99593.5   100000  1714835986707  1714835992017
read      352.5   176.0   148.8   209.7   224.5   323.2   378.2   411.0   436.4   469.0   513.9   585.1   735.6  1429.0  6404.1 104857.2   105000  1714835993521  1714835998826
read      394.8   177.7   160.7   223.5   244.0   369.4   429.2   465.2   493.6   528.2   575.1   648.8   809.5  1059.2  7420.9 110133.8   110000  1714836000330  1714836005642
read      396.7   226.5   148.8   222.5   242.2   365.4   425.2   462.5   492.5   530.7   584.8   677.1   858.9  1151.1  9074.2 114770.2   115000  1714836007146  1714836012451
read      450.7   224.3   148.8   245.8   274.4   420.0   492.6   537.5   572.0   613.2   665.8   741.7   883.1  1134.3  8798.6 119811.6   120000  1714836013955  1714836019265
read      445.9   229.0   160.7   232.4   257.2   397.6   485.5   546.5   591.2   640.5   699.5   784.5   940.3  1188.3  8227.7 121008.6   125000  1714836020769  1714836026075
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.69%,74.00%,100.00%
