#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      360.0   462.9   160.7   230.9   256.1   334.2   357.5   370.0   380.1   393.5   409.8   443.2   687.6  5425.1 20107.6   5022.8     5000  1714413702249  1714413707682
read      381.1   396.4   160.7   219.5   234.7   370.9   410.4   429.9   443.2   458.3   474.5   503.5   588.7  5730.4 15484.1   9913.8    10000  1714413709188  1714413714573
read      374.0   294.3   160.7   208.4   223.2   365.9   428.1   454.8   471.2   489.6   508.2   539.9   595.9  3843.1 12703.4  14884.6    15000  1714413716077  1714413721392
read      370.1   335.5   148.8   203.0   216.6   345.8   432.5   466.7   487.7   508.6   535.0   571.3   638.7  1965.2 11972.8  19885.0    20000  1714413722896  1714413728217
read      366.2   222.8   148.8   198.2   212.0   326.9   430.6   474.2   499.4   525.0   551.3   587.7   657.5  1962.1  9879.6  24949.9    25000  1714413729721  1714413735051
read      368.4   199.5   148.8   199.3   213.2   321.5   426.3   479.1   510.1   540.5   573.3   614.8   686.0  1663.7  7901.9  29934.6    30000  1714413736554  1714413741877
read      367.8   226.8   148.8   199.8   213.9   319.5   413.2   472.3   508.8   543.8   580.1   624.5   696.0  1492.5  9878.3  34933.6    35000  1714413743380  1714413748686
read      363.4   241.2   148.8   198.8   212.7   316.8   396.2   455.4   495.9   537.5   579.3   627.5   704.1  1558.4 11104.4  39929.6    40000  1714413750190  1714413755485
read      367.2   200.1   148.8   199.3   212.8   321.3   402.3   459.4   499.3   543.4   590.7   641.8   739.6  1408.8  6395.6  44821.3    45000  1714413756989  1714413762308
read      359.5   185.1   148.8   196.7   210.6   317.9   391.0   443.7   484.7   531.3   580.6   634.3   721.8  1012.3  7655.1  50028.4    50000  1714413763811  1714413769101
read      348.8   196.9   148.8   196.9   210.2   310.0   373.4   419.4   456.6   501.0   553.4   616.3   708.3  1122.9  8064.8  55232.6    55000  1714413770604  1714413775909
read      367.3   206.1   148.8   198.4   212.7   324.0   402.2   453.4   490.1   531.8   581.4   648.0   796.9  1239.6  7427.9  59940.4    60000  1714413777413  1714413782703
read      356.0   190.2   148.8   200.8   214.1   319.3   385.4   427.5   460.9   502.1   554.6   623.2   733.2  1364.1  7885.5  64940.6    65000  1714413784206  1714413789511
read      358.7   201.4   148.8   199.5   213.8   322.2   389.6   430.9   463.4   503.3   554.1   623.4   742.0  1621.6  8628.8  69984.0    70000  1714413791015  1714413796319
read      360.7   156.0   148.8   199.3   214.8   329.9   396.4   436.1   465.9   502.0   548.1   618.7   759.6  1339.5  4825.0  74801.8    75000  1714413797823  1714413803125
read      352.1   187.1   148.8   200.6   214.7   320.2   381.4   419.0   447.7   482.3   529.3   599.3   739.1  1378.2  6880.6  79884.4    80000  1714413804629  1714413809932
read      359.2   369.0   148.8   202.8   217.9   327.5   390.0   427.7   456.8   492.4   539.3   613.7   749.0  1152.9  8441.3  85007.0    85000  1714413811436  1714413816750
read      351.0   178.5   148.8   203.5   217.4   320.5   379.2   415.2   443.2   478.8   527.2   598.2   731.9  1182.5  6912.1  90041.2    90000  1714413818253  1714413823561
read      342.5   192.0   148.8   202.8   216.3   314.0   369.4   402.4   428.5   460.5   503.6   573.8   695.7  1034.6  7582.3  95235.8    95000  1714413825065  1714413830365
read      358.6   175.4   148.8   206.4   222.2   331.5   389.6   424.6   451.2   483.7   528.0   595.8   747.2  1117.6  5032.9 100023.8   100000  1714413831869  1714413837175
read      358.8   192.5   148.8   206.2   222.9   333.1   389.1   422.3   447.5   478.4   521.2   589.8   745.3  1140.5  7627.5 105275.4   105000  1714413838679  1714413843976
read      372.0   173.9   148.8   211.4   229.2   344.4   401.9   437.5   465.5   500.2   546.5   624.0   782.2  1046.4  6307.3 109711.6   110000  1714413845480  1714413850791
read      524.5   230.0   160.7   284.9   319.8   489.7   587.4   641.5   679.7   722.2   773.5   848.0   992.7  1253.6  7749.6 114303.0   115000  1714413852294  1714413857591
read      382.0   171.7   148.8   218.9   239.0   360.7   417.0   451.1   476.0   507.2   547.1   609.7   733.9  1044.4  7013.9 119943.6   120000  1714413859094  1714413864403
read      496.0   232.8   148.8   272.1   304.5   470.0   549.4   594.7   628.5   667.3   715.1   785.7   925.2  1264.3  9829.8 123405.0   125000  1714413865906  1714413871209
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.58%,63.82%,100.00%
