#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      361.1   533.1   160.7   221.2   243.6   326.0   356.4   372.9   386.3   400.3   421.6   455.9   788.7  7891.2 19817.4   4893.6     5000  1714413335722  1714413341151
read      385.7   255.7   160.7   209.4   225.6   375.2   434.8   461.1   479.0   500.3   526.8   564.8   642.7  3880.2  8018.8   9996.2    10000  1714413342656  1714413348028
read      398.1   270.0   148.8   206.0   221.5   374.1   453.3   492.8   519.6   547.9   583.1   630.9   728.5  3433.3 10380.6  15066.4    15000  1714413349531  1714413354843
read      414.4   331.1   148.8   204.6   220.3   380.1   468.0   519.8   556.6   595.6   636.2   689.3   800.5  2553.1 13643.9  19907.0    20000  1714413356347  1714413361677
read      440.4   265.9   148.8   205.8   221.9   403.7   503.5   563.5   607.7   654.2   707.8   779.1   932.9  2056.1 10120.2  24797.0    25000  1714413363182  1714413368516
read      452.0   288.7   148.8   205.2   221.1   403.9   520.1   589.0   639.9   695.1   755.1   840.3  1031.6  1584.6  9489.9  30062.4    30000  1714413370020  1714413375347
read      449.7   283.0   148.8   203.2   218.8   390.6   513.1   585.2   641.4   702.5   770.8   860.3  1079.3  1830.3  9603.9  34837.0    35000  1714413376851  1714413382162
read      444.7   291.2   148.8   201.9   216.3   355.2   487.4   568.4   639.2   716.9   801.1   923.7  1200.3  1832.9  9724.2  39925.2    40000  1714413383666  1714413388970
read      449.8   314.0   148.8   203.4   217.9   340.2   462.3   549.1   632.3   733.0   847.3  1045.4  1360.5  1753.6  9452.8  45042.0    45000  1714413390473  1714413395776
read      435.8   321.2   148.8   200.5   214.5   327.3   443.5   531.2   610.9   713.0   821.6   989.2  1322.6  1733.1 11264.2  49844.6    50000  1714413397280  1714413402582
read      460.9   370.8   148.8   205.3   220.7   328.1   413.6   499.1   586.8   735.2   934.3  1255.2  1674.7  2161.5  9952.3  55086.2    55000  1714413404085  1714413409399
read      444.5   329.0   148.8   202.7   217.5   329.2   426.9   508.6   582.2   703.6   859.3  1106.0  1514.4  1997.3  8927.6  60048.0    60000  1714413410903  1714413416213
read      440.8   336.7   148.8   203.6   218.5   323.8   415.0   491.4   561.4   675.3   850.3  1128.6  1566.9  2114.4  9436.3  64976.0    65000  1714413417718  1714413423014
read      449.5   359.8   148.8   205.6   222.0   330.9   421.7   496.0   570.7   697.5   876.3  1138.7  1608.8  2111.4  9501.6  69914.8    70000  1714413424517  1714413429815
read      517.4   439.3   148.8   218.1   236.1   358.2   466.1   568.3   686.4   859.0  1062.6  1355.0  2023.5  3055.3 12219.7  74917.2    75000  1714413431318  1714413436627
read      817.4  1030.2   137.8   260.2   300.2   436.0   607.5  1329.6  1507.5  1617.4  1732.0  1913.3  2976.7  8781.0 36081.5  77800.8    80000  1714413438130  1714413443427
read      875.5  1107.5   160.7   276.7   319.9   466.2   739.2  1468.7  1570.6  1665.2  1773.0  1944.2  2869.5 13542.8 35515.1  75696.0    85000  1714413444930  1714413450223
read      814.4  1056.4   148.8   280.1   316.9   422.9   578.2  1394.7  1517.9  1608.8  1711.1  1859.6  2761.5 14143.8 31914.7  81251.0    90000  1714413451727  1714413457032
read      827.3  1246.9   148.8   278.0   316.8   423.9   546.2  1359.0  1505.5  1603.9  1711.9  1867.4  2816.8 16476.8 36547.6  80568.0    95000  1714413458536  1714413463835
read      856.3  1135.7   148.8   271.3   322.6   453.8   665.1  1434.7  1556.4  1651.4  1740.3  1878.4  2817.5 15268.8 36095.4  77647.2   100000  1714413465339  1714413470641
read      884.8  1155.0   160.7   276.0   323.7   470.4   744.8  1483.2  1578.0  1672.8  1782.1  1945.3  2851.2 15858.0 35499.8  75225.2   105000  1714413472144  1714413477440
read      833.2  1108.8   148.8   278.7   319.7   435.2   628.1  1416.0  1530.9  1622.0  1725.6  1874.8  2739.6 12891.4 32274.6  79616.4   110000  1714413478943  1714413484247
read      795.1  1160.3   148.8   282.1   310.1   403.5   522.6  1329.4  1480.4  1582.3  1686.2  1832.4  2744.8 13626.0 35734.6  83977.6   115000  1714413485750  1714413491047
read      786.5  1221.8   148.8   279.4   309.3   398.6   487.9  1289.8  1460.3  1567.3  1673.9  1816.1  2739.5 15430.9 36994.0  84859.7   120000  1714413492551  1714413497863
read      845.9  1306.8   148.8   273.9   318.9   436.1   580.3  1378.2  1523.7  1622.7  1721.6  1870.4  2837.5 17449.0 33123.8  79235.0   125000  1714413499366  1714413504665
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.42%,60.80%,100.00%
