#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      292.4   168.4   148.8   205.6   218.4   277.0   305.7   322.2   336.5   352.8   374.6   413.7   500.0   970.3  8053.5  29988.5    30000  1714995723479  1714995733638
read      301.5   198.4   137.8   206.2   219.6   280.5   310.5   328.7   342.8   361.9   387.6   431.6   572.4  2813.4  8013.6  29956.0    30005  1714995735147  1714995745281
read      287.6   207.4   137.8   203.2   214.0   267.6   294.1   311.9   325.1   343.0   368.8   411.1   517.9  2087.6  8622.2  30064.9    30010  1714995746787  1714995756900
read      287.4   257.5   148.8   203.1   213.5   264.5   290.5   307.7   320.3   339.3   365.5   407.7   519.7  2635.0 12515.2  30093.6    30015  1714995758407  1714995768523
read      298.8   235.6   148.8   204.6   217.0   276.8   307.9   326.3   340.9   359.9   385.8   429.4   541.4  2748.1  8786.3  30036.3    30020  1714995770030  1714995780144
read      286.0   234.8   148.8   201.8   211.8   263.8   290.7   308.7   322.0   341.6   368.1   412.0   515.4  2476.2 10528.2  29973.5    30025  1714995781651  1714995791765
read      295.3   236.5   148.8   204.6   216.2   273.5   302.5   320.1   335.4   353.4   378.5   421.8   520.8  3121.7  9413.7  30083.7    30030  1714995793273  1714995803391
read      291.4   251.0   148.8   204.2   215.4   268.9   295.9   314.2   328.4   346.2   372.8   418.5   527.8  2790.6 11931.9  30092.1    30035  1714995804900  1714995815017
read      288.2   227.0   148.8   201.3   211.6   265.3   292.9   311.5   325.7   344.6   371.7   418.3   530.1  2630.3 10020.9  29916.6    30040  1714995816525  1714995826640
read      291.4   240.3   148.8   201.3   212.2   268.3   296.7   315.7   330.5   348.3   373.8   418.8   526.3  3392.0  9333.6  30046.0    30045  1714995828148  1714995838258
read      287.4   287.1   137.8   197.9   209.1   263.0   290.7   308.9   322.2   341.5   367.4   408.3   510.4  3642.9 11945.4  30139.4    30050  1714995839766  1714995849882
read      300.4   245.3   148.8   204.9   216.8   273.9   304.6   323.1   339.2   359.0   386.5   433.1   586.2  3153.3  9880.4  29905.4    30055  1714995851389  1714995861505
read      273.2   204.9   137.8   199.4   209.3   255.8   278.9   294.0   307.0   322.4   346.7   387.9   470.0   874.3 10630.1  30080.4    30060  1714995863014  1714995873130
read      281.3   221.9   148.8   198.7   210.5   263.5   288.8   305.0   317.6   334.9   358.3   396.5   480.3  2042.2 10449.8  30040.1    30065  1714995874637  1714995884746
read      283.9   178.7   137.8   203.6   214.5   268.1   294.3   311.4   323.7   340.9   364.2   400.9   482.3   864.1  8454.7  30092.7    30070  1714995886255  1714995896367
read      274.3   189.8   148.8   200.7   210.2   257.0   280.3   295.4   309.1   325.4   349.6   389.4   469.7  1209.8  8730.9  30095.2    30075  1714995897874  1714995907990
read      280.5   212.2   148.8   203.4   213.6   263.9   288.4   303.9   316.3   333.2   356.7   395.2   472.6   778.0 10247.8  30034.0    30080  1714995909499  1714995919616
read      288.4   190.1   148.8   204.1   216.5   272.6   299.8   316.7   330.0   345.5   368.8   404.2   489.9  1027.3  8782.1  30113.1    30085  1714995921123  1714995931235
