#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      403.4   471.3   173.5   246.0   271.8   373.9   410.9   430.9   446.0   463.7   487.6   524.3   632.2  8300.9 15365.5   5002.6     5000  1714835306823  1714835312299
read      442.5   259.3   173.5   234.5   255.5   429.4   496.5   531.3   554.7   582.7   617.6   668.5   790.8  3137.5 10248.3  10037.2    10000  1714835313805  1714835319202
read      463.0   366.5   160.7   220.4   238.6   436.8   527.2   574.3   606.6   640.4   679.9   738.9   868.9  6427.9 10159.9  14980.6    15000  1714835320705  1714835326032
read      463.7   271.9   160.7   216.1   233.5   437.1   541.4   599.5   638.4   676.4   721.3   784.8   924.1  1344.2  9145.1  19945.4    20000  1714835327535  1714835332868
read      476.4   336.6   160.7   212.9   229.8   436.9   550.2   618.2   664.3   712.7   767.3   841.0  1002.5  2462.8 12766.3  25125.2    25000  1714835334372  1714835339704
read      484.6   304.1   148.8   212.2   229.4   431.8   564.1   640.5   690.2   744.2   803.1   892.4  1113.5  2093.8 10085.9  29960.3    30000  1714835341208  1714835346537
read      484.2   298.3   148.8   211.1   227.7   416.6   558.1   643.5   703.6   766.2   835.7   938.3  1178.5  1491.5  9930.0  35056.4    35000  1714835348041  1714835353373
read      480.6   358.3   148.8   211.4   227.1   384.1   527.5   625.8   699.9   777.0   861.7   989.9  1265.8  2991.0 10646.6  40009.4    40000  1714835354877  1714835360187
read      487.1   343.4   148.8   213.8   229.6   381.2   528.8   628.3   706.3   794.2   891.2  1040.1  1364.5  1999.3 12002.1  44832.4    45000  1714835361691  1714835367000
read      480.4   362.0   148.8   212.3   228.5   360.5   482.9   586.1   677.5   790.0   916.6  1123.5  1472.5  1967.7 10884.1  49844.4    50000  1714835368504  1714835373812
read      478.7   359.9   160.7   215.3   230.9   350.4   456.3   560.6   654.6   778.9   930.6  1178.9  1601.3  2182.7  9420.8  54827.2    55000  1714835375316  1714835380629
read      460.3   321.9   148.8   212.9   228.3   345.0   444.8   535.2   619.5   738.8   885.5  1098.8  1515.6  1882.0  7853.8  60091.0    60000  1714835382133  1714835387430
read      496.9   404.0   160.7   220.0   237.2   362.9   463.1   548.6   639.8   798.3  1001.3  1272.2  1708.7  2738.1 12759.8  64935.8    65000  1714835388933  1714835394251
read      475.3   370.9   148.8   219.4   235.9   351.7   439.7   518.7   600.8   749.7   946.9  1196.6  1649.4  2220.7 11338.0  69815.6    70000  1714835395755  1714835401056
read      560.0   525.4   148.8   229.6   251.9   390.1   504.5   617.9   742.6   927.0  1128.7  1478.8  2163.8  3288.3 15519.0  74700.0    75000  1714835402560  1714835407870
read      825.5   767.5   160.7   284.9   324.8   445.5   692.5  1428.0  1547.5  1640.8  1738.5  1901.0  2811.7  7400.0 18656.5  77370.4    80000  1714835409375  1714835414683
read      885.1  1276.8   160.7   287.9   330.1   462.8   652.0  1436.4  1561.4  1659.8  1766.4  1937.9  2948.8 16578.9 39359.4  75300.3    85000  1714835416187  1714835421498
read      815.4  1207.9   160.7   285.3   315.0   419.6   535.7  1332.0  1492.4  1592.1  1698.1  1849.8  2768.1 14289.7 32481.9  81693.0    90000  1714835423002  1714835428295
read      906.0  1124.6   148.8   289.0   341.0   489.6   869.5  1503.4  1595.3  1688.7  1793.4  1947.3  2886.9 14642.2 32099.5  73391.4    95000  1714835429800  1714835435115
read      820.6  1198.3   148.8   295.3   324.0   419.4   534.5  1355.2  1508.1  1609.5  1707.4  1849.6  2813.7 13821.3 35482.9  81112.5   100000  1714835436619  1714835441928
read      890.9  1089.1   160.7   288.8   338.6   474.7   829.1  1496.8  1589.9  1682.9  1784.6  1930.2  2851.3 12762.7 32269.4  74479.0   105000  1714835443431  1714835448732
read      854.4  1335.0   160.7   298.9   332.9   435.4   570.5  1380.8  1523.6  1623.8  1717.9  1863.5  2856.8 17133.5 36886.3  78681.8   110000  1714835450236  1714835455536
read      875.1  1288.7   160.7   294.1   331.1   454.6   638.2  1415.2  1545.2  1644.0  1755.2  1920.2  2920.5 16528.6 36102.4  76545.5   115000  1714835457040  1714835462341
read      863.2  1283.0   148.8   285.7   322.8   449.3   617.2  1400.0  1532.5  1629.2  1735.8  1888.9  2885.9 16595.4 36545.0  77706.2   120000  1714835463846  1714835469156
read      837.4  1226.5   160.7   300.6   332.7   428.9   560.3  1367.1  1515.9  1614.4  1713.3  1859.0  2802.2 16545.0 32287.5  79488.6   125000  1714835470661  1714835475976
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.42%,69.90%,100.00%
