#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      387.8   546.0   160.7   244.6   268.0   356.4   384.7   399.3   410.2   423.8   437.9   468.2   613.5  9566.8 20250.7   4968.4     5000  1714836036279  1714836041718
read      384.7   344.7   160.7   223.8   241.8   377.3   418.0   438.5   453.7   469.0   491.7   523.3   592.6  5048.7 13937.2  10023.0    10000  1714836043224  1714836048601
read      402.6   248.2   148.8   217.1   233.7   401.5   467.6   496.2   514.7   535.2   558.8   591.3   671.4  3035.1 11620.4  15058.4    15000  1714836050105  1714836055428
read      411.6   232.1   160.7   214.1   229.9   401.1   489.7   527.3   550.5   574.8   602.0   642.1   725.8  1476.5  8580.3  19935.4    20000  1714836056932  1714836062263
read      403.6   268.6   160.7   208.6   223.8   368.2   479.6   525.5   552.8   580.1   612.3   654.5   728.0  1721.1 12164.9  24988.2    25000  1714836063767  1714836069098
read      391.5   261.6   148.8   205.1   219.2   343.1   457.2   513.9   547.1   579.3   615.4   661.0   736.7  1157.7  9365.9  30177.2    30000  1714836070601  1714836075921
read      395.0   255.3   148.8   205.7   219.9   342.7   452.9   516.4   555.2   591.9   632.8   678.1   756.4  1524.5  9900.1  34788.2    35000  1714836077425  1714836082750
read      392.9   249.5   148.8   206.9   221.5   343.8   441.8   504.0   546.3   587.3   629.5   677.5   756.7  1572.5  9873.7  39993.6    40000  1714836084254  1714836089553
read      377.3   208.3   148.8   205.1   218.8   325.0   410.8   477.1   524.5   572.5   620.7   672.6   747.6  1194.8  8247.1  45016.0    45000  1714836091057  1714836096365
read      381.0   231.6   148.8   205.5   219.4   332.6   415.5   472.7   518.4   567.7   619.0   675.6   769.3  1445.6 10021.5  50097.0    50000  1714836097870  1714836103184
read      380.2   190.1   148.8   207.7   222.2   336.0   417.3   470.6   513.5   563.2   616.6   674.5   759.1  1013.0  6023.6  54971.0    55000  1714836104689  1714836109997
read      375.1   198.8   148.8   206.7   220.6   328.3   408.0   461.8   502.6   551.0   607.2   671.9   777.8  1212.8  7544.1  59844.2    60000  1714836111502  1714836116817
read      365.8   198.1   148.8   206.1   220.0   321.8   391.1   436.7   476.0   525.9   583.6   655.4   762.6  1626.9  7190.8  64950.0    65000  1714836118321  1714836123639
read      373.3   206.7   148.8   208.5   223.1   334.1   408.1   453.3   488.3   532.1   585.6   655.8   755.1  1098.3  7532.1  70074.2    70000  1714836125142  1714836130452
read      366.4   208.7   148.8   206.9   221.1   326.2   397.3   441.0   474.6   517.7   571.5   642.9   752.7  1447.2  7774.1  75008.0    75000  1714836131956  1714836137264
read      360.9   194.5   148.8   206.6   220.9   325.1   391.4   431.2   461.8   500.4   551.0   625.7   739.8  1450.8  8368.4  79887.2    80000  1714836138768  1714836144070
read      357.0   187.3   148.8   206.4   220.3   318.8   383.6   425.3   457.6   497.3   548.4   624.0   754.4  1309.2  6198.0  84796.4    85000  1714836145574  1714836150888
read      362.4   220.7   148.8   208.0   222.9   327.3   390.6   430.0   460.9   499.2   548.4   622.6   759.1  1139.3  8136.7  90153.0    90000  1714836152392  1714836157706
read      361.4   202.1   148.8   208.7   223.6   329.0   390.8   427.5   455.9   490.7   536.9   611.0   785.5  1347.5  6425.2  94901.8    95000  1714836159210  1714836164509
read      357.2   167.3   148.8   208.9   224.0   329.2   387.6   422.6   449.3   481.6   525.7   591.8   736.7  1167.0  7078.7  99835.8   100000  1714836166013  1714836171315
read      367.3   174.7   148.8   214.1   230.6   341.8   398.2   432.3   459.0   491.4   534.3   601.5   749.1  1042.6  7186.5 105011.6   105000  1714836172818  1714836178121
read      393.3   199.9   160.7   222.0   241.8   366.3   427.1   464.3   493.5   529.3   577.4   652.3   805.3  1049.5  7873.3 110111.6   110000  1714836179624  1714836184936
read      456.3   231.9   148.8   233.5   258.5   408.7   488.9   544.5   592.8   657.1   736.6   841.9  1001.3  1208.0  8089.5 112967.0   115000  1714836186440  1714836191745
read      393.6   201.8   148.8   222.8   243.0   364.6   424.5   462.1   491.9   529.1   579.6   657.7   806.0  1018.8  8739.5 119714.8   120000  1714836193249  1714836198556
read      532.2   262.2   160.7   285.3   321.3   491.6   590.6   649.5   690.8   737.7   796.4   878.6  1018.5  1263.9 10693.9 116473.8   125000  1714836200060  1714836205369
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.50%,74.37%,100.00%
