2024-05-13T22:05:02.350934 custom scheduler stable+%2885828+QPS%29
2024-05-13T22:05:03.054138 custom scheduler stable+%2876064+QPS%29
2024-05-13T22:05:03.746831 custom scheduler stable+%2853271+QPS%29
2024-05-13T22:05:04.441653 custom scheduler stable+%2852650+QPS%29
2024-05-13T22:05:05.133201 custom scheduler stable+%2845930+QPS%29
2024-05-13T22:05:05.822869 custom scheduler stable+%2835003+QPS%29
2024-05-13T22:05:06.511617 custom scheduler stable+%2835102+QPS%29
2024-05-13T22:05:07.202591 custom scheduler stable+%2832205+QPS%29
2024-05-13T22:05:07.897819 custom scheduler stable+%2828611+QPS%29
2024-05-13T22:05:08.583632 custom scheduler stable+%2828650+QPS%29
2024-05-13T22:05:08.833641 custom scheduler unstable+%28CURR+47159+-+29514+QPS%29
2024-05-13T22:05:09.397407 custom scheduler stable+%2835051+QPS%29
2024-05-13T22:05:10.024075 custom scheduler stable+%2838536+QPS%29
2024-05-13T22:05:10.715041 custom scheduler stable+%2838724+QPS%29
2024-05-13T22:05:11.401436 custom scheduler stable+%2827423+QPS%29
2024-05-13T22:05:12.083641 custom scheduler stable+%2820994+QPS%29
2024-05-13T22:05:12.773543 custom scheduler stable+%2820670+QPS%29
2024-05-13T22:05:13.457230 custom scheduler stable+%2815984+QPS%29
2024-05-13T22:05:14.141776 custom scheduler stable+%2814076+QPS%29
2024-05-13T22:05:14.825347 custom scheduler unstable+%28CURR+109873+-+19667+QPS%29
2024-05-13T22:05:15.605345 custom scheduler stable+%2880531+QPS%29
2024-05-13T22:05:15.671940 custom scheduler unstable+%28CURR+126188+-+86693+QPS%29
2024-05-13T22:05:15.736549 custom scheduler stable+%2891769+QPS%29
2024-05-13T22:05:16.250797 custom scheduler stable+%2895052+QPS%29
2024-05-13T22:05:16.959003 custom scheduler stable+%2895404+QPS%29
2024-05-13T22:05:17.669978 custom scheduler stable+%2898576+QPS%29
2024-05-13T22:05:18.391262 custom scheduler stable+%2897371+QPS%29
2024-05-13T22:05:19.092562 custom scheduler stable+%2891588+QPS%29
2024-05-13T22:05:19.792221 custom scheduler stable+%2871861+QPS%29
2024-05-13T22:05:20.489273 custom scheduler stable+%2871905+QPS%29
2024-05-13T22:05:21.184030 custom scheduler stable+%2860050+QPS%29
2024-05-13T22:05:21.882300 custom scheduler stable+%2842618+QPS%29
2024-05-13T22:05:22.574996 custom scheduler stable+%2842409+QPS%29
2024-05-13T22:05:23.266141 custom scheduler stable+%2844831+QPS%29
2024-05-13T22:05:23.958804 custom scheduler stable+%2846726+QPS%29
2024-05-13T22:05:24.649575 custom scheduler stable+%2846528+QPS%29
2024-05-13T22:05:25.339663 custom scheduler stable+%2837702+QPS%29
2024-05-13T22:05:26.028015 custom scheduler stable+%2831150+QPS%29
2024-05-13T22:05:26.715574 custom scheduler stable+%2830751+QPS%29
2024-05-13T22:05:26.778670 custom scheduler unstable+%28CURR+45079+-+31059+QPS%29
2024-05-13T22:05:27.341552 custom scheduler stable+%2838121+QPS%29
2024-05-13T22:05:27.968037 custom scheduler stable+%2843872+QPS%29
2024-05-13T22:05:28.659544 custom scheduler stable+%2843587+QPS%29
2024-05-13T22:05:28.785872 custom scheduler unstable+%28CURR+85051+-+45530+QPS%29
2024-05-13T22:05:29.505534 custom scheduler stable+%2881493+QPS%29
2024-05-13T22:05:30.154031 custom scheduler stable+%2894695+QPS%29
2024-05-13T22:05:30.887410 custom scheduler stable+%2890734+QPS%29
2024-05-13T22:05:31.591772 custom scheduler stable+%2871149+QPS%29
2024-05-13T22:05:32.296276 custom scheduler stable+%2866744+QPS%29
