timestamp,core0,core1
1714835099623618509,0.0,0.0
1714835099724076810,0.0,0.0
1714835099824440782,0.0,0.0
1714835099924839323,0.0,0.0
1714835100025204634,9.1,0.0
1714835100125600136,0.0,0.0
1714835100225973727,0.0,0.0
1714835100326330810,0.0,0.0
1714835100426728242,0.0,0.0
1714835100527126573,0.0,0.0
1714835100627517593,0.0,0.0
1714835100727869664,0.0,0.0
1714835100828228806,0.0,0.0
1714835100928601997,0.0,0.0
1714835101028977708,0.0,0.0
1714835101129404709,0.0,0.0
1714835101229787922,0.0,0.0
1714835101330132513,0.0,0.0
1714835101430407801,0.0,0.0
1714835101530670735,0.0,10.0
1714835101630919107,0.0,0.0
1714835101731172829,0.0,0.0
1714835101831545841,0.0,0.0
1714835101931956101,0.0,0.0
1714835102032334984,0.0,0.0
1714835102132758305,0.0,0.0
1714835102233152167,0.0,0.0
1714835102333540057,0.0,0.0
1714835102433925778,0.0,0.0
1714835102534299919,0.0,0.0
1714835102634654623,0.0,0.0
1714835102735095394,0.0,0.0
1714835102835497406,0.0,0.0
1714835102935912819,0.0,0.0
1714835103036249868,0.0,0.0
1714835103136624729,9.1,0.0
1714835103237009381,0.0,0.0
1714835103337411154,0.0,0.0
1714835103437766384,0.0,0.0
1714835103538121065,0.0,0.0
1714835103638496138,0.0,0.0
1714835103738840490,0.0,0.0
1714835103839192912,0.0,0.0
1714835103939563124,0.0,0.0
1714835104039925675,0.0,0.0
1714835104140324496,0.0,0.0
1714835104240708116,0.0,0.0
1714835104341081789,0.0,0.0
1714835104441524419,0.0,0.0
1714835104541916591,0.0,0.0
1714835104642276973,0.0,0.0
1714835104742649225,0.0,0.0
1714835104843013706,0.0,0.0
1714835104943398789,0.0,0.0
1714835105043740149,0.0,0.0
1714835105144105810,0.0,0.0
1714835105244487092,0.0,0.0
1714835105344829373,10.0,0.0
1714835105445178914,0.0,0.0
1714835105545527866,0.0,0.0
1714835105645894330,0.0,0.0
1714835105746254680,0.0,0.0
1714835105846603130,0.0,0.0
1714835105946957972,0.0,0.0
1714835106047344443,0.0,0.0
1714835106147740827,0.0,0.0
1714835106248075075,0.0,0.0
1714835106348436917,0.0,0.0
1714835106448788379,0.0,0.0
1714835106549159443,0.0,0.0
1714835106649573632,0.0,0.0
1714835106749964445,0.0,0.0
1714835106850377047,0.0,0.0
1714835106950757578,0.0,0.0
1714835107051151209,0.0,0.0
1714835107151497018,0.0,0.0
1714835107251871080,9.1,10.0
1714835107352214113,0.0,0.0
1714835107452581994,0.0,0.0
1714835107552918107,0.0,0.0
1714835107653318538,0.0,0.0
1714835107753678300,0.0,0.0
1714835107854063730,0.0,0.0
1714835107954434290,0.0,0.0
1714835108054794943,0.0,0.0
1714835108155155774,0.0,0.0
1714835108255523336,0.0,0.0
1714835108355912366,0.0,0.0
1714835108456282519,0.0,0.0
1714835108556623130,0.0,0.0
1714835108656960392,0.0,0.0
1714835108757350495,0.0,0.0
1714835108857710205,0.0,0.0
1714835108958077967,0.0,0.0
1714835109058443161,0.0,0.0
1714835109158828330,0.0,0.0
1714835109259218702,0.0,0.0
1714835109359592673,0.0,0.0
1714835109459944076,0.0,0.0
1714835109560286297,0.0,0.0
