2024-05-09T23:26:10.155997 start scheduler
2024-05-09T23:26:10.173644 custom scheduler memcached+pid%3D8686
2024-05-09T23:26:10.173850 custom scheduler scheduler+pid%3D8686
2024-05-09T23:26:10.173987 custom scheduler unstable+%28CURR+0+-+0+QPS%29
2024-05-09T23:26:10.174772 update_cores memcached [0,1]
2024-05-09T23:26:10.251212 custom scheduler stable+%280+QPS%29
2024-05-09T23:26:10.440936 start freqmine [2,3] 3
2024-05-09T23:26:10.562514 custom scheduler unstable+%28CURR+38125+-+5138+QPS%29
2024-05-09T23:26:10.766493 start canneal [2,3] 3
2024-05-09T23:26:11.144696 start dedup [1] 1
2024-05-09T23:26:11.191146 pause dedup
2024-05-09T23:26:11.467911 custom scheduler stable+%2835968+QPS%29
2024-05-09T23:26:12.095288 custom scheduler stable+%2837703+QPS%29
2024-05-09T23:26:12.787275 custom scheduler stable+%2837632+QPS%29
2024-05-09T23:26:13.476147 custom scheduler stable+%2837799+QPS%29
2024-05-09T23:26:14.166025 custom scheduler stable+%2838150+QPS%29
2024-05-09T23:26:14.868814 custom scheduler stable+%2838144+QPS%29
2024-05-09T23:26:15.560781 custom scheduler stable+%2837984+QPS%29
2024-05-09T23:26:16.250571 custom scheduler stable+%2838114+QPS%29
2024-05-09T23:26:16.946949 custom scheduler stable+%2837807+QPS%29
2024-05-09T23:26:17.637970 custom scheduler stable+%2837822+QPS%29
2024-05-09T23:26:18.327543 custom scheduler stable+%2837868+QPS%29
2024-05-09T23:26:19.016941 custom scheduler stable+%2837726+QPS%29
2024-05-09T23:26:19.709106 custom scheduler stable+%2837607+QPS%29
2024-05-09T23:26:20.400186 custom scheduler stable+%2837831+QPS%29
2024-05-09T23:26:20.592304 custom scheduler unstable+%28CURR+102086+-+41886+QPS%29
2024-05-09T23:26:21.300201 custom scheduler stable+%2875437+QPS%29
2024-05-09T23:26:21.944274 custom scheduler stable+%2885942+QPS%29
2024-05-09T23:26:22.654428 custom scheduler stable+%2885948+QPS%29
2024-05-09T23:26:23.356627 custom scheduler stable+%2886086+QPS%29
2024-05-09T23:26:24.066844 custom scheduler stable+%2886631+QPS%29
2024-05-09T23:26:24.767771 custom scheduler stable+%2886721+QPS%29
2024-05-09T23:26:25.222223 custom scheduler unstable+%28CURR+124653+-+86416+QPS%29
2024-05-09T23:26:25.286437 custom scheduler stable+%2886484+QPS%29
2024-05-09T23:26:25.484333 custom scheduler stable+%2886474+QPS%29
2024-05-09T23:26:26.183953 custom scheduler stable+%2887284+QPS%29
2024-05-09T23:26:26.885633 custom scheduler stable+%2886173+QPS%29
2024-05-09T23:26:27.085036 custom scheduler unstable+%28CURR+128168+-+86230+QPS%29
