2024-05-09T16:58:49.931239 custom scheduler stable+%289046+QPS%29
2024-05-09T16:58:50.617141 custom scheduler stable+%288963+QPS%29
2024-05-09T16:58:51.301863 custom scheduler stable+%289153+QPS%29
2024-05-09T16:58:51.986328 custom scheduler stable+%289132+QPS%29
2024-05-09T16:58:52.672737 custom scheduler stable+%288974+QPS%29
2024-05-09T16:58:53.356380 custom scheduler stable+%288995+QPS%29
2024-05-09T16:58:54.043453 custom scheduler stable+%288965+QPS%29
2024-05-09T16:58:54.726883 custom scheduler stable+%288916+QPS%29
2024-05-09T16:58:55.411863 custom scheduler stable+%288945+QPS%29
2024-05-09T16:58:56.096305 custom scheduler stable+%288931+QPS%29
2024-05-09T16:58:56.345349 custom scheduler unstable+%28CURR+25728+-+9771+QPS%29
2024-05-09T16:58:56.347136 update_cores memcached [0,1]
2024-05-09T16:58:57.103461 custom scheduler stable+%2832691+QPS%29
2024-05-09T16:58:57.169400 custom scheduler unstable+%28CURR+50746+-+34850+QPS%29
2024-05-09T16:58:57.233160 custom scheduler stable+%2836906+QPS%29
2024-05-09T16:58:57.739180 custom scheduler stable+%2839746+QPS%29
2024-05-09T16:58:58.431551 custom scheduler stable+%2839723+QPS%29
2024-05-09T16:58:59.125359 custom scheduler stable+%2839870+QPS%29
2024-05-09T16:58:59.814699 custom scheduler stable+%2839920+QPS%29
2024-05-09T16:59:00.506521 custom scheduler stable+%2840065+QPS%29
2024-05-09T16:59:01.196806 custom scheduler stable+%2839771+QPS%29
2024-05-09T16:59:01.889481 custom scheduler stable+%2839569+QPS%29
2024-05-09T16:59:02.580985 custom scheduler stable+%2839619+QPS%29
2024-05-09T16:59:03.271143 custom scheduler stable+%2839287+QPS%29
2024-05-09T16:59:03.960634 custom scheduler stable+%2839547+QPS%29
2024-05-09T16:59:04.653077 custom scheduler stable+%2839910+QPS%29
2024-05-09T16:59:05.344851 custom scheduler stable+%2839451+QPS%29
2024-05-09T16:59:06.044395 custom scheduler stable+%2839474+QPS%29
2024-05-09T16:59:06.424954 custom scheduler unstable+%28CURR+24613+-+37470+QPS%29
2024-05-09T16:59:06.678418 custom scheduler stable+%2832103+QPS%29
2024-05-09T16:59:06.740507 custom scheduler stable+%2830993+QPS%29
2024-05-09T16:59:07.426312 custom scheduler stable+%2818862+QPS%29
2024-05-09T16:59:07.433252 update_cores memcached [0]
2024-05-09T16:59:08.114712 custom scheduler stable+%2818959+QPS%29
2024-05-09T16:59:08.800804 custom scheduler stable+%2819152+QPS%29
2024-05-09T16:59:09.486875 custom scheduler stable+%2818828+QPS%29
2024-05-09T16:59:10.174987 custom scheduler stable+%2818718+QPS%29
2024-05-09T16:59:10.863273 custom scheduler stable+%2819034+QPS%29
2024-05-09T16:59:11.549217 custom scheduler stable+%2819333+QPS%29
2024-05-09T16:59:12.238582 custom scheduler stable+%2819055+QPS%29
2024-05-09T16:59:12.928037 custom scheduler stable+%2818930+QPS%29
2024-05-09T16:59:13.615854 custom scheduler stable+%2818744+QPS%29
2024-05-09T16:59:14.301420 custom scheduler stable+%2818963+QPS%29
2024-05-09T16:59:14.987603 custom scheduler stable+%2819062+QPS%29
2024-05-09T16:59:15.677730 custom scheduler stable+%2818815+QPS%29
2024-05-09T16:59:16.373831 custom scheduler unstable+%28CURR+80808+-+22208+QPS%29
2024-05-09T16:59:16.378210 update_cores memcached [0,1]
2024-05-09T16:59:17.157704 custom scheduler stable+%2868787+QPS%29
2024-05-09T16:59:17.805048 custom scheduler stable+%2878919+QPS%29
2024-05-09T16:59:18.513905 custom scheduler stable+%2878679+QPS%29
2024-05-09T16:59:19.225673 custom scheduler stable+%2878657+QPS%29
2024-05-09T16:59:19.945136 custom scheduler stable+%2878424+QPS%29
2024-05-09T16:59:20.660856 custom scheduler stable+%2878318+QPS%29
2024-05-09T16:59:21.381546 custom scheduler stable+%2878774+QPS%29
2024-05-09T16:59:22.101690 custom scheduler stable+%2878783+QPS%29
2024-05-09T16:59:22.812262 custom scheduler stable+%2878723+QPS%29
2024-05-09T16:59:23.159406 custom scheduler unstable+%28CURR+121353+-+79227+QPS%29
2024-05-09T16:59:23.224903 custom scheduler stable+%2879055+QPS%29
2024-05-09T16:59:23.544667 custom scheduler stable+%2878821+QPS%29
2024-05-09T16:59:24.249159 custom scheduler stable+%2878843+QPS%29
2024-05-09T16:59:24.951300 custom scheduler stable+%2878896+QPS%29
2024-05-09T16:59:25.667850 custom scheduler stable+%2878893+QPS%29
